LocationLatitude,LocationLongitude,class
33.7815303999301,-84.403298189004,-1
33.7793851430662,-84.3977675378428,2
33.7794998804019,-84.40233694088559,0
33.7794998804019,-84.40233694088559,0
33.779796139076296,-84.40261024356441,0
33.7768439093347,-84.388907415106,0
33.7794998804019,-84.40233694088559,0
33.776593185714304,-84.3873057983307,0
33.7812639397664,-84.3935733993705,1
33.781511039305,-84.3935698977523,1
33.7796500627971,-84.4034216289665,0
33.786671999999996,-84.38852800000001,-1
33.7796518601603,-84.4054918756696,0
33.7755588705121,-84.388811205367,0
33.7794998804019,-84.40233694088559,0
33.775708334636896,-84.3978051156662,0
33.772119,-84.399107,-1
33.781501705109704,-84.395021141723,1
33.7755588705121,-84.388811205367,0
33.7768439093347,-84.388907415106,0
33.7712915716627,-84.3913324013709,0
33.7712915716627,-84.3913324013709,0
33.7758824189085,-84.3942910786335,0
33.7794998804019,-84.40233694088559,0
33.7755588705121,-84.388811205367,0
33.7794998804019,-84.40233694088559,0
33.776903614483,-84.3922198527776,-1
33.776593185714304,-84.3873057983307,0
33.7712915716627,-84.3913324013709,0
33.7772839501663,-84.4024094864729,0
33.7796500627971,-84.4034216289665,0
33.7794998804019,-84.40233694088559,0
33.7796518601603,-84.4054918756696,0
33.7794998804019,-84.40233694088559,0
33.7772624904425,-84.40386736915849,0
33.775519454272,-84.3941674602909,0
33.7712915716627,-84.3913324013709,0
33.777638813028695,-84.3957495982593,0
33.7794998804019,-84.40233694088559,0
33.7713172241968,-84.3937186503148,-1
33.7752812616859,-84.3888151548318,0
33.7758824189085,-84.3942910786335,0
33.7712915716627,-84.3913324013709,0
33.776593185714304,-84.3873057983307,0
33.775184,-84.404619,-1
33.7712915716627,-84.3913324013709,0
33.7712915716627,-84.3913324013709,0
33.7712915716627,-84.3913324013709,0
33.7778845086959,-84.4042117094421,0
33.7712915716627,-84.3913324013709,0
33.7796545110447,-84.40422607259809,0
33.7763985841177,-84.388799243222,0
33.7712915716627,-84.3913324013709,0
33.7793851430662,-84.3977675378428,2
33.776593185714304,-84.3873057983307,0
33.7794998804019,-84.40233694088559,0
33.7789337787049,-84.4061169086705,0
33.772690967913604,-84.39517474695009,-1
33.7768439093347,-84.388907415106,0
33.775432718998104,-84.4025480646915,-1
33.7794998804019,-84.40233694088559,0
33.7754010382595,-84.3846020211329,-1
33.7712915716627,-84.3913324013709,0
33.7794998804019,-84.40233694088559,0
33.7758064323167,-84.3930566570075,0
33.7764253100066,-84.397800777334,0
33.7774923925343,-84.40422429088291,0
33.7712915716627,-84.3913324013709,0
33.7812639397664,-84.3935733993705,1
33.775184,-84.404619,-1
33.7768439093347,-84.388907415106,0
33.7762422495441,-84.3902715832497,0
33.7796518601603,-84.4054918756696,0
33.7815066603721,-84.39703392669459,-1
33.7772624904425,-84.40386736915849,0
33.7796545110447,-84.40422607259809,0
33.776593185714304,-84.3873057983307,0
33.7794998804019,-84.40233694088559,0
33.7794998804019,-84.40233694088559,0
33.7793851430662,-84.3977675378428,2
33.776593185714304,-84.3873057983307,0
33.777638813028695,-84.3957495982593,0
33.7786953113886,-84.4061185925483,0
33.7758824189085,-84.3942910786335,0
33.7794998804019,-84.40233694088559,0
33.7776488143002,-84.4022744699443,0
33.777412061026304,-84.4023794889936,0
33.7768624904263,-84.3899378420188,0
33.774447442407606,-84.408314742055,-1
33.7758824189085,-84.3942910786335,0
33.7794998804019,-84.40233694088559,0
33.7862048000704,-84.40165165640309,-1
33.781511039305,-84.3935698977523,1
33.7712915716627,-84.3913324013709,0
33.7758824189085,-84.3942910786335,0
33.7712915716627,-84.3913324013709,0
33.7755588705121,-84.388811205367,0
33.781511039305,-84.3935698977523,1
33.7768439093347,-84.388907415106,0
33.781501705109704,-84.395021141723,1
33.7768624904263,-84.3899378420188,0
33.779796139076296,-84.40261024356441,0
33.7773819172964,-84.4023865472348,0
33.7768439093347,-84.388907415106,0
33.7755588705121,-84.388811205367,0
33.7755588705121,-84.388811205367,0
33.7712915716627,-84.3913324013709,0
33.7755588705121,-84.388811205367,0
33.7755588705121,-84.388811205367,0
33.776923549637,-84.3933272743318,-1
33.7763985841177,-84.388799243222,0
33.7758824189085,-84.3942910786335,0
33.7794998804019,-84.40233694088559,0
33.7781982016083,-84.40420164421229,0
33.781511039305,-84.3935698977523,1
33.7768624904263,-84.3899378420188,0
33.7794998804019,-84.40233694088559,0
33.7763985841177,-84.388799243222,0
33.7769124757792,-84.39271204007959,-1
33.7794998804019,-84.40233694088559,0
33.7712915716627,-84.3913324013709,0
33.7772624904425,-84.40386736915849,0
33.775432718998104,-84.4025480646915,-1
33.7758824189085,-84.3942910786335,0
33.7755588705121,-84.388811205367,0
