OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18020315,2/19/18,23:53:00,2/19/18,23:53:00,3562,Marijuana - Possession of,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,,,,Fowler Street NW/ Eighth Street NW,,,1
18020352,2/23/18,0:18:00,2/23/18,12:30:00,3542,Synthetic Narcotic - Possession of,Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,14th Steet  NW @ Francis Street  NW,,,,,,1
18020354,2/22/18,23:48:00,2/23/18,4:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Center,351,,Ferst Drive NW,,,1
18020344,2/22/18,11:00:00,2/22/18,11:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Clough Undergraduate Learning Commons,266,,Fourth Street  NW,,,1
18010025,1/7/18,22:45:00,1/7/18,23:20:00,3564,Marijuana Free Text,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,NAA South  191  Z2,120,,North Avenue NW,33.76932,-84.39182,1
18010045,1/10/18,19:00:00,1/10/18,21:30:00,2308,Larceny - From Building,Inactive,,ONCAM,Z2,Georgia Tech Hotel & Conference Center,800,,Spring Street  NW,33.77634325,-84.38930792,1
18010056,1/12/18,16:44:00,1/12/18,18:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Howey Physics Building,800,,Atlantic Drive NW,,,1
18010110,1/22/18,8:49:00,1/22/18,9:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,,62,,Fifth Street  NW,33.776853,-84.388807,1
18010154,1/28/18,8:59:00,1/28/18,8:59:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Freeman Residence Hall,835,,McMillan Street  NW,33.77755033,-84.40392021,1
18010174,1/31/18,15:15:00,1/31/18,17:02:00,3699,Sex Offense Free Text,Closed/Cleared,Cleared by Arrest,ONCAM,Z4,Eighth Street Apartment,555,,Eighth Street NW,,,1
18020256,2/12/18,22:30:00,2/12/18,23:00:00,3542,Synthetic Narcotic - Possession of,Closed/Cleared,Cleared by Arrest,PUB,Z4,Tech Parkway  NW @ North Avenue  NW,,,,33.77131,-84.392067,1
18020276,2/15/18,17:07:00,2/15/18,17:37:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,PUB,Z2,,,,,,,2
18020285,2/16/18,11:54:00,2/16/18,11:54:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,,,770,,State Street NW,33.77895641,-84.40131466,1
18020411,2/28/18,19:00:00,2/28/18,21:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Van Leer Electrical Engenering Building,777,,Atlantic Drive,33.777007,-84.405706,1
18020415,3/1/18,23:10:00,3/1/18,23:55:00,9999W,,Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,14th Street NW @ Holly Street NW,,,,33.786547,-84.390444,1
18010015,1/4/18,21:53:00,1/4/18,23:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,,,,,33.781552,-84.404199,1
18010064,1/13/18,16:34:00,1/13/18,16:52:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z2,North Avenue Apartments South Building,120,,North Avenue NW,,,1
